City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
108,Puerto Ayora,EC,-0.74,-90.35,75.2,60,84,23.04,broken clouds
109,Council Bluffs,US,41.26,-95.86,93.2,41,75,13.87,broken clouds
110,Mar Del Plata,AR,-38.0,-57.56,60.8,31,0,12.75,clear sky
111,Atuona,PF,-9.8,-139.03,78.21,78,41,18.25,light rain
112,Tazovskiy,RU,67.47,78.7,53.11,81,100,9.89,overcast clouds
113,Svetlogorsk,BY,52.63,29.73,58.42,73,45,7.76,scattered clouds
114,Longyearbyen,SJ,78.22,15.64,42.8,67,40,5.82,scattered clouds
115,Kyra,RU,49.58,111.98,51.67,87,1,2.93,clear sky
116,Haikou,CN,20.05,110.34,77.0,94,5,2.24,clear sky
117,Kaohsiung,TW,22.62,120.31,78.8,94,75,8.05,light intensity shower rain
118,Khatanga,RU,71.97,102.5,47.71,76,0,7.2,clear sky
119,Jiayuguan,CN,39.82,98.3,68.27,39,95,7.78,overcast clouds
120,Uyuni,BO,-20.46,-66.83,51.57,31,2,24.18,clear sky
121,Robertsonpet,IN,12.97,78.28,73.4,100,75,9.17,broken clouds
122,Nyurba,RU,63.28,118.33,39.63,79,0,3.71,clear sky
123,Hamilton,US,39.18,-84.53,81.0,73,1,5.82,clear sky
124,Sembakung,ID,3.82,117.25,73.4,98,87,1.21,overcast clouds
125,Kavieng,PG,-2.57,150.8,82.2,71,1,1.72,clear sky
126,Isangel,VU,-19.55,169.27,76.33,80,7,12.62,clear sky
127,Santander,ES,43.46,-3.8,70.0,77,40,3.4,scattered clouds
128,Norman Wells,CA,65.28,-126.83,66.2,59,75,12.75,broken clouds
129,Thompson,CA,55.74,-97.86,50.0,76,75,10.29,broken clouds
130,Faya,SA,18.39,42.45,71.6,77,2,0.92,clear sky
131,Bambous Virieux,MU,-20.34,57.76,71.6,73,40,11.41,scattered clouds
132,Bilma,NE,18.69,12.92,95.07,32,44,2.28,light rain
133,Chapais,CA,49.78,-74.85,66.2,52,75,6.93,broken clouds
134,Acaponeta,MX,22.5,-105.36,92.5,59,70,6.46,broken clouds
135,Saskylakh,RU,71.92,114.08,36.73,81,7,4.54,clear sky
136,Zhigansk,RU,66.77,123.37,38.59,82,62,15.19,broken clouds
137,Dingle,PH,11.0,122.67,76.86,88,100,1.88,overcast clouds
138,Tagbac,PH,7.09,125.16,73.4,94,75,3.36,broken clouds
139,Arroio Grande,BR,-32.24,-53.09,50.54,66,0,5.99,clear sky
140,Kawalu,ID,-7.38,108.21,71.1,92,59,1.74,broken clouds
141,Muros,ES,42.78,-9.06,66.0,80,1,3.0,clear sky
142,Kapaa,US,22.08,-159.32,84.2,66,20,14.99,few clouds
143,Kibaek,DK,56.03,8.86,64.0,93,8,9.17,moderate rain
144,Narsaq,GL,60.92,-46.05,53.6,62,20,5.82,few clouds
145,Guerrero Negro,MX,27.98,-114.06,89.26,41,0,15.73,clear sky
146,Airai,TL,-8.93,125.41,57.83,46,76,3.71,broken clouds
147,Ostrovnoy,RU,68.05,39.51,59.38,74,0,16.73,clear sky
148,Moree,AU,-29.47,149.85,33.8,74,0,4.7,clear sky
149,Kommunisticheskiy,RU,61.68,64.48,49.48,96,20,6.82,few clouds
150,Rotifunk,SL,8.23,-12.68,74.5,95,100,2.82,moderate rain
151,Tual,ID,-5.67,132.75,79.12,80,39,16.2,scattered clouds
152,Grindavik,IS,63.84,-22.43,50.0,87,0,1.12,clear sky
153,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,37,20,12.75,few clouds
154,Brae,GB,60.4,-1.35,53.6,100,99,6.93,overcast clouds
155,Bredasdorp,ZA,-34.53,20.04,53.6,87,7,5.82,clear sky
156,Tiksi,RU,71.69,128.87,40.24,91,100,4.36,light rain
157,Westport,US,41.14,-73.36,87.01,58,1,10.29,clear sky
158,Mwene-Ditu,CD,-7.0,23.45,76.6,43,43,2.28,scattered clouds
159,Chara,RU,56.91,118.26,50.45,80,96,1.79,overcast clouds
160,Shelburne,CA,44.08,-80.2,80.6,57,20,5.73,few clouds
161,Henties Bay,NA,-22.12,14.28,63.16,43,0,7.43,clear sky
162,Dengfeng,CN,34.46,113.03,72.0,1,82,2.33,broken clouds
163,Tasiilaq,GL,65.61,-37.64,48.2,61,32,10.29,scattered clouds
164,Yellowknife,CA,62.46,-114.35,59.0,67,75,13.87,broken clouds
165,Ornskoldsvik,SE,63.29,18.72,60.8,87,14,4.7,few clouds
166,Honiara,SB,-9.43,159.95,73.4,100,75,5.99,broken clouds
167,Kodiak,US,57.79,-152.41,69.8,56,1,11.41,clear sky
168,Llanes,ES,43.42,-4.75,66.0,94,44,1.01,scattered clouds
169,Ghatsila,IN,22.6,86.48,80.37,86,100,1.9,light rain
170,Saint-Francois,FR,46.42,3.91,71.6,53,91,4.7,overcast clouds
171,Turayf,SA,31.67,38.66,82.4,45,0,11.41,clear sky
172,Vondrozo,MG,-22.82,47.28,56.37,100,80,2.08,light rain
173,Tanete,ID,-3.94,119.78,72.41,85,77,8.08,broken clouds
174,Bathsheba,BB,13.22,-59.52,86.0,70,20,11.41,few clouds
175,Bandarbeyla,SO,9.49,50.81,76.39,76,55,31.68,broken clouds
176,Kaeo,NZ,-35.1,173.78,57.0,3,7,1.99,clear sky
177,Naruja,GE,41.91,41.95,66.2,93,75,9.17,broken clouds
178,Port Hardy,CA,50.7,-127.42,59.0,87,90,8.05,overcast clouds
179,Bloomingdale,US,27.89,-82.24,87.01,79,1,2.39,light rain
180,Zlatoust,RU,55.17,59.65,46.62,98,54,3.53,broken clouds
181,Chicama,PE,-7.84,-79.15,70.12,59,12,9.73,few clouds
182,Shimoda,JP,34.67,138.95,72.0,91,100,3.49,light rain
183,Vila Do Maio,CV,15.13,-23.22,80.6,78,20,6.93,few clouds
