City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Katsuura,JP,78.01,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
395,Sohag,EG,86.0,clear sky,26.56,31.69,Civil Registry - Sohag 1
397,Tanabe,JP,75.0,broken clouds,33.73,135.37,美吉屋旅館
400,Bonthe,SL,75.76,light rain,7.53,-12.51,Bonthe Holiday Village
402,Porto Novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
405,Faanui,PF,77.2,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
406,Lazaro Cardenas,MX,85.06,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
409,Hobyo,SO,75.94,overcast clouds,5.35,48.53,Osmani Hotel
410,Puerto Ayacucho,VE,84.2,shower rain,5.66,-67.62,Posada Turistica Manapiare
413,Santa Marta,CO,89.6,broken clouds,11.24,-74.2,Hotel La Ballena Azul
414,Pathein,MM,77.68,light rain,16.78,94.73,Pathein Hotel
415,Porto Nacional,BR,95.0,broken clouds,-10.71,-48.42,Vila Real Hotel
420,San Julian,MX,76.14,scattered clouds,21.02,-102.17,La Nueva España
423,Rexburg,US,86.0,haze,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
426,Saint Anthony,US,87.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
430,Etla,MX,78.8,broken clouds,17.06,-96.79,MonteAlbán house
432,Biak,ID,75.96,broken clouds,-0.91,122.88,Kost Ariz
434,Olinda,BR,75.2,light rain,-8.01,-34.86,Hotel 5 Sóis
435,Umm Lajj,SA,83.46,clear sky,25.02,37.27,Moon light Furnished Units
438,Kirakira,SB,81.63,overcast clouds,-10.45,161.92,SanBiz Lodge
441,Delijan,IR,76.05,clear sky,33.99,50.68,ایزوگام آسیاگستردلیجان
443,Esna,EG,87.8,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
446,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
451,Xiongzhou,CN,76.03,light rain,25.12,114.3,Xinhewan Business Hotel
454,Labuhan,ID,76.03,clear sky,-6.88,112.21,bador sepret
